city,category,name,lat,lon
bangalore,gyms,Realm Fitness Fight Club,12.9965586,77.6136291
bangalore,gyms,Gold Star fitness,12.9256138,77.6763208
bangalore,gyms,cult.fit,13.0441052,77.6259727
bangalore,gyms,Madbody Fitness Center,13.0074029,77.5692931
bangalore,gyms,Zain Muscle Fitness Studio,12.9500853,77.5268298
bangalore,gyms,Fit Free,12.9779764,77.6364717
bangalore,gyms,Playmore,13.0590348,77.591951
bangalore,gyms,mithun's fitness factory,13.0608362,77.5875116
bangalore,gyms,National Academy Of Naturopathy And Yoga,12.8906991,77.6090805
bangalore,gyms,Paripurna Yoga Kendra,13.0955932,77.5873145
bangalore,gyms,Burnout Fitness,12.9624953,77.7132281
bangalore,gyms,N. S. Fitness Studio,12.9640203,77.7133773
bangalore,gyms,Gym X,12.9659365,77.7138374
bangalore,gyms,nan,12.9626858,77.7173611
bangalore,gyms,Movement Fitness,12.9185504,77.638153
bangalore,gyms,Aurum Elite Fitness Club,12.9333329,77.6311199
bangalore,gyms,cult.fit,12.932367,77.6321201
bangalore,gyms,TechnoGym,12.9738882,77.5992729
bangalore,gyms,Dr. Pilates,13.0193779,77.6430195
bangalore,gyms,Game On Fitness,12.950762,77.595979
bangalore,gyms,nan,12.9723405,77.7074025
bangalore,gyms,Xtreme Body Fitness,12.9086283,77.6236311
bangalore,gyms,Smack Fitness,12.9108405,77.6244568
bangalore,gyms,cult.fit,12.9561587,77.7215998
bangalore,gyms,Result Fitness,12.9673405,77.7161058
bangalore,gyms,Transformation Studio,12.9725348,77.6511557
bangalore,gyms,Apple Fitness,12.9755516,77.5381299
bangalore,gyms,Next Move,12.9067318,77.6493254
bangalore,gyms,Namma Training,12.9262949,77.5820574
bangalore,gyms,Physique 57,12.9708123,77.5983869
bangalore,gyms,Viva Fit,12.9401001,77.7467858
bangalore,gyms,Cult.fit,12.9137266,77.6792393
bangalore,gyms,Apple Fitness,12.9269827,77.6699187
bangalore,gyms,cult.fit,12.8978489,77.6340857
bangalore,gyms,Whitefield Total Fitness,12.9567611,77.7458833
bangalore,gyms,Fit X Fitness,12.9563227,77.5292473
bangalore,gyms,cult.fit,13.0934552,77.5832541
bangalore,gyms,Sree Guru Gym,13.0682583,77.5583312
bangalore,gyms,Welcare,12.956084,77.7168995
bangalore,gyms,Elite Gym,12.9794216,77.75129
bangalore,gyms,Stayfit,12.9572629,77.745105
bangalore,gyms,cult.fit,12.9104422,77.5915328
bangalore,gyms,Fitness First,12.9727815,77.7505842
bangalore,gyms,Sama,12.9727073,77.7506077
bangalore,gyms,J L Fitness,13.0021166,77.6611947
bangalore,gyms,D5N Fitness,13.008301,77.5668108
bangalore,gyms,Fitness Republic,12.9221549,77.6652196
bangalore,gyms,Fitness hive,12.8713439,77.5831454
bangalore,gyms,cult.fit,12.9836025,77.7519245
bangalore,gyms,Crunch Fitness,13.0046353,77.7174766
bangalore,gyms,Ample Fit,12.9843577,77.7496932
bangalore,gyms,Rock's Gym,12.9844636,77.7493771
bangalore,gyms,Phoenix Fitness,12.9844294,77.74953
bangalore,gyms,Prajapathi Brahmakumaris Ishwariya Vishwa Vidyalaya,12.9648073,77.7143417
bangalore,gyms,Cult,12.9188448,77.6104372
bangalore,gyms,Iconic Fitness,12.9259316,77.675759
bangalore,gyms,Phoenix fitness,12.8029458,77.7833495
bangalore,gyms,Kineto Calisthenics Park,12.9134483,77.5419934
bangalore,gyms,nan,12.9227174,77.5059164
bangalore,gyms,Jaguar Fitness,12.9072691,77.6059652
bangalore,gyms,Patanjali Yogamandira,13.00902,77.5782952
bangalore,gyms,Hammers,12.9120859,77.647742
bangalore,gyms,Gold's Gym,13.0994189,77.5891274
bangalore,gyms,Asana,12.9589238,77.7188567
bangalore,gyms,nan,12.9940359,77.7318227
bangalore,gyms,nan,13.0816232,77.639489
bangalore,gyms,Aikyam Yoga,12.9586044,77.7155252
bangalore,gyms,Fitness Arena,12.9543459,77.7176018
bangalore,gyms,Vishwa Purnima Yoga,12.9588832,77.6596623
bangalore,gyms,Falcon Gym | Dance | Zoomba,12.9798447,77.7337408
bangalore,gyms,HYFIT,12.9248069,77.6507934
bangalore,gyms,A24/7 Gym,13.0034723,77.6169766
bangalore,gyms,cult.fit,12.9558272,77.7130454
bangalore,gyms,Ahad Serenity Society Gym,12.8817492,77.6780994
bangalore,gyms,My Fitness,12.940628706409726,77.54548352513486
bangalore,gyms,Skypool Fitness,12.89145477999906,77.60146189707889
bangalore,gyms,Planet Fitness,12.907138950000002,77.6108901
bangalore,gyms,Citi Nest,12.974562381043754,77.63309495202557
bangalore,gyms,Breakthrough,12.870816332096743,77.58485766685065
bangalore,gyms,Diksha Yoga Classes,12.97785220369734,77.63320618008915
bangalore,gyms,Club House / Gym - SJR Park Vista,12.917161623073113,77.6642533300324
bangalore,gyms,We Fitness and Health Center,12.900273296391836,77.58604829289703
bangalore,gyms,Fitness Den,13.144379333445375,77.61798772798771
bangalore,gyms,CULT Fitness center,12.913469075089047,77.6449256371526
bangalore,gyms,Rashtrotthana Arogya Sankeerna,12.96195447135776,77.7138691822153
bangalore,gyms,Akshar Power Yoga Academy,12.971809179799582,77.74947065632982
bangalore,gyms,Iskcon - Sarjapur Road,12.920947400000001,77.66728445
bangalore,gyms,KRS Yoga,12.9715352,77.74641405000001
bangalore,gyms,nan,12.93687972607999,77.75093872425226
bangalore,gyms,SVCC Gym,13.023235372406944,77.76130728957747
bangalore,gyms,nan,12.927254689537392,77.66606037353826
bangalore,supermarkets,Foodworld,12.9328185,77.5830433
bangalore,supermarkets,Family Mall,12.9588137,77.6382484
bangalore,supermarkets,Spencers Express,12.9591813,77.6382984
bangalore,supermarkets,More,12.9595527,77.638381
bangalore,supermarkets,nan,12.9621752,77.6373877
bangalore,supermarkets,Reliance Fresh,13.0316253,77.6357141
bangalore,supermarkets,Shoba,13.0306094,77.6349359
bangalore,supermarkets,Smart,13.0298925,77.6347682
bangalore,supermarkets,Big Bazaar,13.0476857,77.5742994
bangalore,supermarkets,Fresh Supermarket,13.0263233,77.6319846
bangalore,supermarkets,Foodworld Supermarket,13.0245569,77.6369992
bangalore,supermarkets,Nilgiris,13.0492252,77.5474051
bangalore,supermarkets,Smart Bazaar,12.9172203,77.5923138
bangalore,supermarkets,Reliance Fresh,13.0042882,77.5710889
bangalore,supermarkets,Reliance smart,13.0061977,77.5693737
bangalore,supermarkets,City Supermarket,13.0397585,77.5555028
bangalore,supermarkets,Spencers Daily,13.0400303,77.5555993
bangalore,supermarkets,nan,12.9250029,77.664274
bangalore,supermarkets,More,13.0224257,77.6508337
bangalore,supermarkets,Reliance Fresh,13.0068052,77.5645334
bangalore,supermarkets,Reliance Fresh,13.0342258,77.5691996
bangalore,supermarkets,Reliance Fresh,13.0290015,77.5615609
bangalore,supermarkets,Families Hypermarket,12.9186665,77.6708407
bangalore,supermarkets,Family Super Market,12.9967968,77.6045046
bangalore,supermarkets,More,12.9998077,77.5996733
bangalore,supermarkets,Arafa Stores,12.9969644,77.6041292
bangalore,supermarkets,"Namdhari Fresh, Frazer Town",13.0009809,77.6138953
bangalore,supermarkets,Sri Balaji Stores,13.014268,77.5737154
bangalore,supermarkets,Mini Bazaar,13.0068553,77.6241647
bangalore,supermarkets,More,12.9409932,77.544655
bangalore,supermarkets,Big Bazaar,12.9265852,77.5509047
bangalore,supermarkets,Food World,12.925511,77.5501686
bangalore,supermarkets,Ragam Supermarket,12.9643853,77.7135826
bangalore,supermarkets,Smart Point,12.9655927,77.7018319
bangalore,supermarkets,New City Super Market,12.9851864,77.6736268
bangalore,supermarkets,Reliance Fresh,12.985926,77.6688553
bangalore,supermarkets,Nilgiri's,12.9859601,77.6689329
bangalore,supermarkets,More,12.9643051,77.7147136
bangalore,supermarkets,City Pearl,13.022202,77.6507704
bangalore,supermarkets,7 Days,13.0228757,77.6509402
bangalore,supermarkets,MK Retail Super Market,12.9118085,77.6512869
bangalore,supermarkets,Homely Organic,13.0043093,77.5653307
bangalore,supermarkets,MK Retail,12.9787623,77.6446428
bangalore,supermarkets,Reliance Fresh,12.9107281,77.5792052
bangalore,supermarkets,Reliance Smart Point,12.8830441,77.565967
bangalore,supermarkets,Reliance Fresh,12.9733041,77.6511018
bangalore,supermarkets,Total Superstore,12.9827809,77.5592036
bangalore,supermarkets,Reliance Fresh,13.0303875,77.6079607
bangalore,supermarkets,N Stores,12.9647649,77.7173064
bangalore,supermarkets,Homeneeds,12.9106552,77.6063086
bangalore,supermarkets,MK Ahmed Bazar,12.9052591,77.5951539
bangalore,supermarkets,Nilgiri's,13.0236679,77.592064
bangalore,supermarkets,Super Market,13.0231839,77.6004176
bangalore,supermarkets,More,13.0252349,77.6054904
bangalore,supermarkets,Akshya Complex,13.0694057,77.5451149
bangalore,supermarkets,Brothers Supermarket,13.0900453,77.54119
bangalore,supermarkets,Maha Bazaar,13.0049266,77.5787343
bangalore,supermarkets,Smart Bazaar,12.9260569,77.6753253
bangalore,supermarkets,More,12.9341298,77.6109889
bangalore,supermarkets,City Lights Supermarket,13.0816565,77.5480509
bangalore,supermarkets,Star Bazaar,12.9358801,77.5176749
bangalore,supermarkets,Food World,12.9209843,77.5202713
bangalore,supermarkets,Reliance Fresh,13.0803293,77.5591419
bangalore,supermarkets,Food World,13.0790883,77.5588656
bangalore,supermarkets,More Supermarket,12.9423147,77.6150065
bangalore,supermarkets,Village Hypermart,12.9567592,77.708841
bangalore,supermarkets,Food world,12.9444504,77.5722351
bangalore,supermarkets,Sowbhagya Traders,12.9352032,77.6228947
